sa2_name_2011,longitude,latitude,points,focal_longitude,focal_latitude,focal_dist,focal_angle,points1,focal_longitude1,focal_latitude1,focal_distance1,angle1,rownumber,hex_long,hex_lat,hex_id
Petersham - Stanmore,151.16205497648716,-33.89477090582435,Sydney,151.1851798,-33.92001097,3523.0856237755343,-37.24244711009996,Sydney,151.1851798,-33.92001097,3523.0856237755343,-37.24244711009996,78,150.8956391583563,-33.734126463625685,81538
Dickson,149.1417482002792,-35.25281669210579,Canberra,149.1290262,-35.28302855,3546.1366915325916,18.969602629735217,Canberra,149.1290262,-35.28302855,3546.1366915325916,18.969602629735217,79,149.3956391583563,-34.94656202892391,78045
Paddington - Milton,152.99970934195787,-27.462987906204624,Brisbane,153.0350927,-27.45503091,3607.038519599878,-104.2129484769202,Brisbane,153.0350927,-27.45503091,3607.038519599878,-104.2129484769202,80,152.59563915835628,-27.67194863713462,98977
Yarralumla,149.0986324222741,-35.30399980136864,Canberra,149.1290262,-35.28302855,3613.418252413355,-130.201046540362,Canberra,149.1290262,-35.28302855,3613.418252413355,-130.201046540362,81,148.69563915835627,-35.46617727119457,76547
Kensington - Kingsford,151.22433112465797,-33.91848947959293,Sydney,151.1851798,-33.92001097,3624.3498759776235,87.30779892192896,Sydney,151.1851798,-33.92001097,3624.3498759776235,87.30779892192896,82,151.1956391583563,-34.25374170589635,80046
Hobart,147.3256124281407,-42.875156492473295,Hobart,147.2950297,-42.85000853,3748.502783723318,138.27596700612713,Hobart,147.2950297,-42.85000853,3748.502783723318,138.27596700612713,83,147.3956391583563,-42.91399574374074,55127
Toorak Gardens,138.6411788965077,-34.93738443891746,Adelaide,138.6000048,-34.93498777,3771.022168257451,94.04960828803726,Adelaide,138.6000048,-34.93498777,3771.022168257451,94.04960828803726,84,138.59563915835628,-34.94656202892391,77991
Forrest,149.1248197148698,-35.317084265788495,Canberra,149.1290262,-35.28302855,3797.683019930731,-174.2423923504521,Canberra,149.1290262,-35.28302855,3797.683019930731,-174.2423923504521,85,149.09563915835628,-35.46617727119457,76549
Darwin Airport,130.88211528489435,-12.41172600494647,Darwin,130.8500386,-12.42535398,3799.6577975813143,66.48583887035565,Darwin,130.8500386,-12.42535398,3799.6577975813143,66.48583887035565,86,131.09563915835628,-12.603106611285384,142195
Carlton North - Princes Hill,144.96812494362354,-37.78569189692176,Melbourne,144.9750162,-37.82003131,3859.454862889203,-9.007851070666327,Melbourne,144.9750162,-37.82003131,3859.454862889203,-9.007851070666327,87,144.8956391583563,-37.19822807876344,71548
Norman Park,153.06294729952535,-27.4800407111099,Brisbane,153.0350927,-27.45503091,3906.473723356999,135.33370417990997,Brisbane,153.0350927,-27.45503091,3906.473723356999,135.33370417990997,88,153.09563915835628,-27.498743556377732,99477
West Hobart,147.30540251564628,-42.88446415111641,Hobart,147.2950297,-42.85000853,3920.4232001520095,167.5536361416186,Hobart,147.2950297,-42.85000853,3920.4232001520095,167.5536361416186,89,147.2956391583563,-43.08720082449763,54628
Millner,130.8625245158328,-12.391849178641948,Darwin,130.8500386,-12.42535398,3947.330711107485,19.997895983866577,Darwin,130.8500386,-12.42535398,3947.330711107485,19.997895983866577,90,131.1956391583563,-12.083491369014723,143690
Highgate Hill,153.01761147652843,-27.48765190878786,Brisbane,153.0350927,-27.45503091,4006.48797937804,-154.56661999122258,Brisbane,153.0350927,-27.45503091,4006.48797937804,-154.56661999122258,91,152.7956391583563,-28.018358798648393,97982
South Perth - Kensington,115.86965112471894,-31.981034068812765,Perth,115.8399987,-31.95501463,4022.5437019556175,135.95938829654398,Perth,115.8399987,-31.95501463,4022.5437019556175,135.95938829654398,92,115.99563915835628,-32.1752807368137,85846
Port Melbourne,144.93518088780448,-37.837951530936074,Melbourne,144.9750162,-37.82003131,4031.7460746635975,-119.65154576555273,Melbourne,144.9750162,-37.82003131,4031.7460746635975,-119.65154576555273,93,144.49563915835628,-37.891048401791,69554
Fitzroy North,144.98434249957802,-37.78405407633192,Melbourne,144.9750162,-37.82003131,4076.821116965405,11.57261750827837,Melbourne,144.9750162,-37.82003131,4076.821116965405,11.57261750827837,94,144.99563915835628,-37.37143315952033,71051
Darwin City,130.843671587806,-12.461730742387056,Darwin,130.8500386,-12.42535398,4083.3281053464857,-170.3001561450485,Darwin,130.8500386,-12.42535398,4083.3281053464857,-170.3001561450485,95,130.49563915835628,-12.949516772799157,141196
Grange,153.0153362223157,-27.42260454375379,Brisbane,153.0350927,-27.45503091,4089.7778319322133,-28.396911901836887,Brisbane,153.0350927,-27.45503091,4089.7778319322133,-28.396911901836887,96,152.7956391583563,-26.979128314107065,100970
Ascot,153.0660161821598,-27.429909485845972,Brisbane,153.0350927,-27.45503091,4134.694025911033,47.52259243718042,Brisbane,153.0350927,-27.45503091,4134.694025911033,47.52259243718042,97,153.2956391583563,-27.152333394863952,100474
Arncliffe - Bardwell Valley,151.1448936404058,-33.93678042215929,Sydney,151.1851798,-33.92001097,4163.565958804128,-116.63057097063123,Sydney,151.1851798,-33.92001097,4163.565958804128,-116.63057097063123,98,150.7956391583563,-34.25374170589635,80044
Prahran - Windsor,144.99804084610508,-37.85285106223972,Melbourne,144.9750162,-37.82003131,4168.67267746613,151.00392325080944,Melbourne,144.9750162,-37.82003131,4168.67267746613,151.00392325080944,99,145.1956391583563,-38.06425348254788,69060
Pagewood - Hillsdale - Daceyville,151.22291984489144,-33.94077458028162,Sydney,151.1851798,-33.92001097,4180.997745656358,123.53732578026757,Sydney,151.1851798,-33.92001097,4180.997745656358,123.53732578026757,100,151.1956391583563,-33.90733154438257,81042
Parkville,144.95149987757924,-37.787092398865454,Melbourne,144.9750162,-37.82003131,4201.8253481055,-29.419880037341922,Melbourne,144.9750162,-37.82003131,4201.8253481055,-29.419880037341922,101,144.7956391583563,-37.37143315952033,71050
Woolloongabba,153.0366500483383,-27.493086577286814,Brisbane,153.0350927,-27.45503091,4219.81051681604,177.9202813433927,Brisbane,153.0350927,-27.45503091,4219.81051681604,177.9202813433927,102,153.1956391583563,-28.018358798648393,97984
Wooloowin - Lutwyche,153.04063765585352,-27.41725225054075,Brisbane,153.0350927,-27.45503091,4222.028635788314,7.4206390652064,Brisbane,153.0350927,-27.45503091,4222.028635788314,7.4206390652064,103,153.1956391583563,-26.979128314107065,100972
Larrakeyah,130.82583859065338,-12.455254970757268,Darwin,130.8500386,-12.42535398,4226.635523240638,-141.67682024750684,Darwin,130.8500386,-12.42535398,4226.635523240638,-141.67682024750684,104,130.59563915835628,-12.77631169204227,141695
West End,153.00605681119555,-27.48341264030286,Brisbane,153.0350927,-27.45503091,4257.639697773609,-137.76300010161748,Brisbane,153.0350927,-27.45503091,4257.639697773609,-137.76300010161748,105,152.49563915835628,-27.845153717891506,98478
St Peters - Marden,138.62782086346402,-34.90400370532449,Adelaide,138.6000048,-34.93498777,4275.046099847329,36.34955573368381,Adelaide,138.6000048,-34.93498777,4275.046099847329,36.34955573368381,106,138.8956391583563,-34.77335694816701,78490
